Data,"Tipo Residuo","Peso"
2024-08-17,"Papel","12960,00"
2024-08-17,"Residuos Limpeza","26320,00"
2024-08-17,"Monstros","4420,00"
2024-08-17,"Vidro","20580,00"
2024-08-17,"Indiferenciado","225560,00"
2024-08-17,"Cortes de Jardim","60400,00"
2024-08-16,"Plastico","22180,00"
2024-08-16,"Restos Comida","7960,00"
2024-08-16,"Residuos Limpeza","1400,00"
2024-08-16,"Indiferenciado","233780,00"
2024-08-16,"Cortes de Jardim","76180,00"
2024-08-16,"Papel","3520,00"
2024-08-16,"Vidro","8520,00"
2024-08-16,"Monstros","17400,00"
2024-08-15,"Residuos Limpeza","40020,00"
2024-08-15,"Plastico","6800,00"
2024-08-15,"Restos Comida","8000,00"
2024-08-15,"Indiferenciado","228360,00"
2024-08-15,"Vidro","3560,00"
2024-08-15,"Papel","23740,00"
2024-08-15,"Cortes de Jardim","21720,00"
2024-08-15,"Monstros","7600,00"
2024-08-14,"Indiferenciado","230180,00"
2024-08-14,"Residuos Limpeza","15280,00"
2024-08-14,"Cortes de Jardim","78560,00"
2024-08-14,"Monstros","11180,00"
2024-08-14,"Vidro","25660,00"
2024-08-14,"Papel","15520,00"
2024-08-14,"Plastico","10780,00"
2024-08-14,"Restos Comida","8300,00"
2024-08-13,"Indiferenciado","243380,00"
2024-08-13,"Residuos Limpeza","12400,00"
2024-08-13,"Vidro","20520,00"
2024-08-13,"Cortes de Jardim","75580,00"
2024-08-13,"Papel","6980,00"
2024-08-13,"Restos Comida","7200,00"
2024-08-13,"Plastico","32560,00"
2024-08-13,"Monstros","17620,00"
2024-08-12,"Indiferenciado","238620,00"
2024-08-12,"Vidro","16960,00"
2024-08-12,"Monstros","19820,00"
2024-08-12,"Papel","35960,00"
2024-08-12,"Plastico","5040,00"
2024-08-12,"Cortes de Jardim","74660,00"
2024-08-12,"Restos Comida","14600,00"
2024-08-12,"Residuos Limpeza","19120,00"
2024-08-11,"Cortes de Jardim","42720,00"
2024-08-11,"Indiferenciado","242540,00"
2024-08-11,"Papel","3420,00"
2024-08-11,"Residuos Limpeza","1240,00"
2024-08-10,"Cortes de Jardim","72900,00"
2024-08-10,"Papel","10560,00"
2024-08-10,"Vidro","23900,00"
2024-08-10,"Indiferenciado","258560,00"
2024-08-10,"Plastico","4980,00"
2024-08-10,"Monstros","24000,00"
2024-08-10,"Restos Comida","9500,00"
2024-08-10,"Residuos Limpeza","4440,00"
2024-08-09,"Papel","5860,00"
2024-08-09,"Monstros","17120,00"
2024-08-09,"Vidro","24380,00"
2024-08-09,"Indiferenciado","247080,00"
2024-08-09,"Restos Comida","5860,00"
2024-08-09,"Plastico","24840,00"
2024-08-09,"Residuos Limpeza","41480,00"
2024-08-09,"Cortes de Jardim","56100,00"
2024-08-08,"Papel","32540,00"
2024-08-08,"Plastico","7980,00"
2024-08-08,"Cortes de Jardim","67680,00"
